cdrRecordType,globalCallID_callManagerId,globalCallID_callId,orignodeId,destnodeId,origlegcallIdentifier,destlegidentifier,orignumberPacketsSent,orignumberOctetsSent,orignumberPacketsReceived,orignumberOctetsReceived,orignumberPacketsLost,destnumberPacketsSent,destnumberOctetsSent,destnumberPacketsReceived,destnumberOctetsReceived,destnumberPacketsLost,origjitter,destjitter,origlatency,destlatency,pkid,origdeviceName,destdeviceName,origvarVQMetrics,destvarVQMetrics,globalCallId_ClusterID,callingPartyNumber,finalCalledPartyNumber,callingPartyNumberPartition,finalCalledPartyNumberPartition
1,2,818104,2,2,35590506,35590507,15922,2738584,15921,2738412,0,,,,,,1,,0,,4531e4bc-d384-422c-a21d-a5238005c551,SEP00260B5C3031,10.2.30.113,MLQK=4.5000;MLQKav=4.5000;MLQKmn=4.5000;MLQKmx=4.5000;ICR=0.0000;CCR=0.0000;ICRmx=0.0000;CS=0;SCS=0;MLQKvr=0.95,,StandAloneCluster,4150,902122095548,P_TEL,P_LD_Caracas
1,2,818109,2,1,35590524,35590528,,,,,,655,104800,623,99680,0,,3,,20,3c9e41d2-56de-4d24-b40a-18e489c293d7,10.2.23.30,CiscoUM1-VI2,,,StandAloneCluster,5613878831,3391000,,P_TEL
1,2,818107,2,1,35590516,35590520,,,,,,2928,468480,2927,468320,0,,3,,20,4f7115c0-fa9e-4299-9ee9-63401aa04419,10.2.23.30,CiscoUM1-VI1,,,StandAloneCluster,9547220900,3391000,,P_TEL
1,2,818108,2,2,35590522,35590523,,,,,,,,,,,,,,,08179023-1c2f-47ef-bf7a-48c979acd237,BOTCTOSHIO,10.2.30.37,,,StandAloneCluster,3373,903185994036648,P_TEL,P_TEL
1,2,818110,2,1,35590530,35590534,,,,,,627,100320,625,100000,0,,2,,20,ebdd4681-9a9f-4770-b628-617fd54362a0,10.2.23.30,CiscoUM1-VI1,,,StandAloneCluster,5613561676,3391000,,P_TEL
1,2,818111,2,2,35590536,35590537,,,,,,5,800,0,0,0,,0,,0,7e239621-2eee-47dd-9471-e6f7190fe514,10.2.23.30,CSFgnnoc,,CS=0;SCS=0,StandAloneCluster,5554,2022,,P_TEL
1,2,818112,2,2,35590539,35590540,579,99588,579,99760,0,581,99932,578,99416,0,0,0,0,0,8bed962d-53d2-4213-ae4e-9aa334d61d13,SEPE80462EA7331,SEPE8046213C81E,MLQK=4.5000;MLQKav=4.4675;MLQKmn=4.4438;MLQKmx=4.5000;ICR=0.0000;CCR=0.0011;ICRmx=0.0035;CS=1;SCS=0;MLQKvr=0.95,MLQK=4.5000;MLQKav=4.5000;MLQKmn=4.5000;MLQKmx=4.5000;ICR=0.0000;CCR=0.0000;ICRmx=0.0000;CS=0;SCS=0;MLQKvr=0.95,StandAloneCluster,3313,3377,P_TEL,P_TEL
1,2,818114,2,1,35590543,35590547,,,,,,620,99200,618,98880,0,,2,,20,fef68e3c-8f0f-422c-b0e4-5dc203ff50f1,10.2.23.30,CiscoUM1-VI1,,,StandAloneCluster,5613774901,3391000,,P_TEL
1,2,818116,2,2,35590551,35590552,3601,619372,3600,619200,0,3601,619372,3597,618684,0,0,0,0,0,ecec5602-c2ee-4f88-9ead-78d833d4e473,SEPE8046213C81E,SEPE80462EA7331,MLQK=4.5000;MLQKav=4.5000;MLQKmn=4.5000;MLQKmx=4.5000;ICR=0.0000;CCR=0.0000;ICRmx=0.0000;CS=0;SCS=0;MLQKvr=0.95,MLQK=4.5000;MLQKav=4.5000;MLQKmn=4.5000;MLQKmx=4.5000;ICR=0.0000;CCR=0.0000;ICRmx=0.0000;CS=0;SCS=0;MLQKvr=0.95,StandAloneCluster,3377,3313,P_TEL,P_TEL
1,2,818115,2,2,35590549,35590550,9279,1484640,9283,1596504,0,,,,,,1,,1,,82f62c51-20a1-44c8-b49d-4b06cc03d642,SEP700B4F90DFF5,10.2.30.37,CCR=0.0002;ICR=0.0000;ICRmx=0.0065;CS=4;SCS=0;Ver=0.90;VoRxCodec=G.711 u-la;CID=4;VoPktSizeMs=20;VoPktLost=0;VoPktDis=1;VoOneWayDelayMs=0;maxJitter=31,,StandAloneCluster,0359,924303600,P_TEL,P_LOCAL_Rio
1,2,818120,2,2,35590559,35590560,1353,232716,1342,230824,0,,,,,,2,,0,,986684da-1376-4978-9a37-034d0c8f336b,SEP00270DC02424,10.2.23.30,MLQK=4.5000;MLQKav=4.4504;MLQKmn=4.3828;MLQKmx=4.5000;ICR=0.0000;CCR=0.0007;ICRmx=0.0066;CS=1;SCS=0;MLQKvr=0.95,,StandAloneCluster,6570,93053192525,P_TEL,P_LOCAL_Miami
