cdrRecordType,globalCallID_callManagerId,globalCallID_callId,orignodeId,destnodeId,origlegcallIdentifier,destlegidentifier,orignumberPacketsSent,orignumberOctetsSent,orignumberPacketsReceived,orignumberOctetsReceived,orignumberPacketsLost,destnumberPacketsSent,destnumberOctetsSent,destnumberPacketsReceived,destnumberOctetsReceived,destnumberPacketsLost,origjitter,destjitter,origlatency,destlatency,pkid,origdeviceName,destdeviceName,origvarVQMetrics,destvarVQMetrics,globalCallId_ClusterID,callingPartyNumber,finalCalledPartyNumber,callingPartyNumberPartition,finalCalledPartyNumberPartition
1,4,7814390,4,4,75939646,75939647,633,101280,629,100640,0,630,108360,632,108704,0,0,0,0,0,a4d0477d-914a-4e07-af3e-9789b6738fa4,SEP0C272455C020,SEP34DBFDCC93C1,MLQK=4.5000;MLQKav=4.5000;MLQKmn=4.5000;MLQKmx=4.5000;ICR=0.0000;CCR=0.0000;ICRmx=0.0000;CS=0;SCS=0;MLQKvr=0.9500,MLQK=4.5000;MLQKav=4.5000;MLQKmn=4.5000;MLQKmx=4.5000;ICR=0.0000;CCR=0.0000;ICRmx=0.0000;CS=0;SCS=0;MLQKvr=0.95,StandAloneCluster,2279,2222,IP PHONES sin DDE,IP PHONES Venezuela
1,6,6310726,6,4,109428684,109428688,885,17700,888,28384,0,902,18040,888,17760,0,2,0,1,0,90166b88-4f8b-457c-b3d2-c9f05e3fdee5,SEP50F722702314,CiscoUM1-VI1,CCR=0.0026;ICR=0.0000;ICRmx=0.0100;CS=2;SCS=0;Ver=0.90;VoRxCodec=G.729 Anne;CID=13;VoPktSizeMs=20;VoPktLost=0;VoPktDis=1;VoOneWayDelayMs=0;maxJitter=34,,StandAloneCluster,8516,8000,IP PHONES Peru,IP PHONES Venezuela
1,4,7814392,4,4,75939650,75939651,384,61440,386,61760,0,384,61440,381,60960,0,0,7,0,0,455fa400-c4a1-4c67-be31-2f9deef66179,SEP0C2724559435,SEP0C2724559CD3,MLQK=0.0000;MLQKav=0.0000;MLQKmn=0.0000;MLQKmx=0.0000;ICR=0.0000;CCR=0.0000;ICRmx=0.0000;CS=0;SCS=0;MLQKvr=0.9500,MLQK=0.0000;MLQKav=0.0000;MLQKmn=0.0000;MLQKmx=0.0000;ICR=0.0000;CCR=0.0000;ICRmx=0.0000;CS=0;SCS=0;MLQKvr=0.9500,StandAloneCluster,2404,2300,IP PHONES Venezuela,IP PHONES Venezuela
1,4,7814391,4,4,75939648,75939649,1770,283200,1769,283040,0,1770,304440,1767,303924,0,0,0,0,0,d39983cf-7066-45a4-88e7-240fffbcf54b,SEP7C95F33EBBC6,SEP34DBFDCC93C1,MLQK=4.5000;MLQKav=4.5000;MLQKmn=4.5000;MLQKmx=4.5000;ICR=0.0000;CCR=0.0000;ICRmx=0.0000;CS=0;SCS=0;MLQKvr=0.9500,MLQK=4.5000;MLQKav=4.4895;MLQKmn=4.4438;MLQKmx=4.5000;ICR=0.0000;CCR=0.0002;ICRmx=0.0033;CS=1;SCS=0;MLQKvr=0.95,StandAloneCluster,2145,2222,IP PHONES Venezuela,IP PHONES Venezuela
1,6,6310729,6,6,109428693,109428694,1009,161440,1010,173548,0,1014,162240,1013,174064,0,0,0,1,1,dcc2e1c4-0bff-459f-b484-8e447782ea6a,SEP045FB9B6A551,SEP045FB9B6A534,CCR=0.0000;ICR=0.0000;ICRmx=0.0000;CS=0;SCS=0;Ver=0.90;VoRxCodec=G.711 u-la;CID=4;VoPktSizeMs=20;VoPktLost=0;VoPktDis=1;VoOneWayDelayMs=1;maxJitter=1,CCR=0.0000;ICR=0.0000;ICRmx=0.0000;CS=0;SCS=0;Ver=0.90;VoRxCodec=G.711 u-la;CID=4;VoPktSizeMs=20;VoPktLost=0;VoPktDis=1;VoOneWayDelayMs=1;maxJitter=4,StandAloneCluster,5316,5305,IP PHONES Panama,IP PHONES Panama
1,4,7814394,4,4,75939667,75939670,13,2080,17,2720,0,89,14240,83,13280,0,14,1,0,20,9c333f79-37ad-4f4c-ae13-a2f1f3ce83b6,SEPAC44F2102795,CiscoUM1-VI1,MLQK=0.0000;MLQKav=0.0000;MLQKmn=0.0000;MLQKmx=0.0000;MLQKvr=0.95;CCR=0.0000;ICR=0.0000;ICRmx=0.0000;CS=0;SCS=0,,StandAloneCluster,2107,8000,IP PHONES Venezuela,IP PHONES Venezuela
1,4,7814385,4,4,75939624,75939625,,,,,,,,,,,,,,,f587238c-e3b7-49e9-8358-3f4f1019d321,SEP0C272455CE11,10.200.16.4,,,StandAloneCluster,2182,02734100,IP PHONES Venezuela,Locales Venezuela con FAC
1,4,7814396,4,4,75939675,75939679,13,2236,12,2064,0,14,2240,12,1920,0,12,0,0,20,81adfd27-a4e5-4515-890f-8557aa5dd615,SEP34DBFDCC93C1,CiscoUM1-VI1,MLQK=0.0000;MLQKav=0.0000;MLQKmn=0.0000;MLQKmx=0.0000;ICR=0.0000;CCR=0.0000;ICRmx=0.0000;CS=0;SCS=0;MLQKvr=0.95,,StandAloneCluster,2036,8000,IP PHONES Venezuela,IP PHONES Venezuela
1,4,7814395,4,4,75939671,75939672,2935,469600,2940,470080,2,3001,480160,2999,479840,0,0,0,0,0,0903abbe-f5ec-4716-b3fd-732d6abea11c,SEPAC44F2102795,SEP5017FF772F29,MLQK=4.5000;MLQKav=4.5000;MLQKmn=4.5000;MLQKmx=4.5000;MLQKvr=0.95;CCR=0.0000;ICR=0.0000;ICRmx=0.0000;CS=0;SCS=0,MLQK=4.5000;MLQKav=4.5000;MLQKmn=4.5000;MLQKmx=4.5000;ICR=0.0000;CCR=0.0000;ICRmx=0.0000;CS=0;SCS=0;MLQKvr=0.9500,StandAloneCluster,2107,2336,IP PHONES Venezuela,IP PHONES Venezuela
1,6,6310730,6,6,109428702,109428703,1759,281440,1766,303580,0,1769,304268,1760,302720,0,0,0,1,0,f5bbc8e6-fbaf-431f-94cf-13ae6d9929e2,SEP50F722702314,SEP00BF7770738C,CCR=0.0000;ICR=0.0000;ICRmx=0.0000;CS=0;SCS=0;Ver=0.90;VoRxCodec=G.711 u-la;CID=4;VoPktSizeMs=20;VoPktLost=0;VoPktDis=1;VoOneWayDelayMs=0;maxJitter=1,MLQK=4.5000;MLQKav=4.5000;MLQKmn=4.5000;MLQKmx=4.5000;ICR=0.0000;CCR=0.0000;ICRmx=0.0000;CS=0;SCS=0;MLQKvr=0.95,StandAloneCluster,8516,2860,IP PHONES Peru,IP PHONES Peru
