Device Name,Status,
SEP001121FF77FB,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF7817,Registered with KOFVZOFCCUCMSUB01.sa.kof.ccf,
SEP001121FF782F,Registered with KOFVZOFCCUCMSUB01.sa.kof.ccf,
SEP001121FF785B,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF7860,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF78BE,Registered with KOFVZOFCCUCMSUB01.sa.kof.ccf,
SEP001121FF78F1,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF7CC9,Registered with KOFVZOFCCUCMSUB01.sa.kof.ccf,
SEP001121FF7DA5,Registered with KOFVZOFCCUCMSUB01.sa.kof.ccf,
SEP001121FF7E2E,Registered with KOFVZOFCCUCMSUB01.sa.kof.ccf,
SEP001121FF7E9F,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF7F2F,Unregistered,
SEP001121FF80AD,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF80B6,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF813C,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF8190,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF81AB,Registered with KOFVZOFCCUCMSUB01.sa.kof.ccf,
SEP001121FF82E1,Registered with KOFVZOFCCUCMSUB01.sa.kof.ccf,
SEP001121FF8382,Registered with KOFVZOFCCUCMSUB01.sa.kof.ccf,
SEP001121FF83BD,Registered with KOFVZOFCCUCMSUB01.sa.kof.ccf,
SEP001121FF8438,Registered with KOFVZOFCCUCMSUB01.sa.kof.ccf,
SEP001121FF8446,Registered with KOFVZOFCCUCMSUB01.sa.kof.ccf,
SEP001121FF8C5F,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF8C68,Registered with KOFVZOFCCUCMSUB01.sa.kof.ccf,
SEP001121FF8C6F,Registered with KOFVZOFCCUCMSUB01.sa.kof.ccf,
SEP001121FF8C77,Registered with KOFVZOFCCUCMSUB01.sa.kof.ccf,
SEP001121FF8CC9,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF8CEB,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF8CFF,Registered with KOFVZOFCCUCMSUB01.sa.kof.ccf,
SEP001121FF8D2F,Registered with KOFVZOFCCUCMSUB01.sa.kof.ccf,
SEP001121FF8D3E,Registered with KOFVZOFCCUCMSUB01.sa.kof.ccf,
SEP001121FF8D64,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF8D81,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF8DA3,Unregistered,
SEP001121FF8DBA,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF8E15,Registered with KOFVZOFCCUCMSUB01.sa.kof.ccf,
SEP001121FF8E4D,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF8E56,Unregistered,
SEP001121FF8E63,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF8E85,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF8E86,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF8EB3,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF8EB8,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF8EFB,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF8F23,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF8F3F,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF8F42,Registered with KOFVZOFCCUCMSUB01.sa.kof.ccf,
SEP001121FF8F44,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF8F56,Unregistered,
SEP001121FF8F5D,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF8F8F,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF8FA5,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF8FB3,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF8FF0,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF8FF3,None,
SEP001121FF9031,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF9041,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF9104,Registered with KOFVZOFCCUCMSUB01.sa.kof.ccf,
SEP001121FF9129,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF913C,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF9180,Registered with KOFVZOFCCUCMSUB01.sa.kof.ccf,
SEP001121FF91A6,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF91F8,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF9203,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF9227,Registered with KOFVZOFCCUCMSUB01.sa.kof.ccf,
SEP001121FF925E,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF9264,Registered with KOFVZOFCCUCMSUB01.sa.kof.ccf,
SEP001121FF9274,Registered with KOFVZOFCCUCMSUB01.sa.kof.ccf,
SEP001121FF9277,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF9288,Registered with KOFVZOFCCUCMSUB01.sa.kof.ccf,
SEP001121FF928F,Registered with KOFVZOFCCUCMSUB01.sa.kof.ccf,
SEP001121FF9295,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF9299,Registered with KOFVZOFCCUCMSUB01.sa.kof.ccf,
SEP001121FF92E4,Registered with KOFVZOFCCUCMSUB01.sa.kof.ccf,
SEP001121FF92EF,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF9315,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF9333,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF934B,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF9360,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF939E,Registered with KOFVZOFCCUCMSUB01.sa.kof.ccf,
SEP001121FF93B4,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF93B7,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF93B8,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
SEP001121FF93CB,Registered with KOFVZOFCCUCMSUB02.sa.kof.ccf,
